epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04039,1.33359,2.87069,1.64201,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,8.60506,1.20375,2.71831,1.51752,0.56593,0.85,0.8486,0.63183,1.6467,1.06023,1.37385,1.17822e-06,1.17822e-06,1.17822e-06
3,10.6238,1.13964,3.62987,1.55492,0.56072,0.85,0.85084,0.61618,1.66649,1.06083,1.37907,2.33288e-06,2.33288e-06,2.33288e-06
4,12.8026,1.2807,2.75597,1.39152,0.56143,0.85,0.84953,0.61587,1.66055,1.05359,1.37788,3.46397e-06,3.46397e-06,3.46397e-06
5,15.0877,1.38509,3.07689,1.73669,0.5678,0.85,0.85527,0.62113,1.65911,1.03967,1.3751,4.5715e-06,4.5715e-06,4.5715e-06
6,17.346,1.5353,4.15935,1.97861,0.54345,0.85,0.89361,0.62399,1.68951,1.06144,1.38014,5.65548e-06,5.65548e-06,5.65548e-06
7,19.6786,1.12352,1.87767,1.39781,0.53793,0.85,0.89343,0.62583,1.68208,1.06031,1.37726,6.71588e-06,6.71588e-06,6.71588e-06
8,21.9366,1.38067,4.01818,1.60911,0.5494,0.85981,0.85871,0.61269,1.64543,1.06027,1.35428,7.75273e-06,7.75273e-06,7.75273e-06
9,24.2403,1.12602,2.71395,1.4133,0.57139,0.862,0.81825,0.59502,1.66877,1.06261,1.36561,8.76602e-06,8.76602e-06,8.76602e-06
10,26.4259,1.19344,3.50671,1.59645,0.5814,0.86221,0.81417,0.59544,1.66146,1.06389,1.35873,9.75574e-06,9.75574e-06,9.75574e-06
11,28.7802,1.21434,2.48612,1.45377,0.58864,0.86304,0.85596,0.61996,1.65836,1.06771,1.35861,1.07219e-05,1.07219e-05,1.07219e-05
12,31.1081,1.00382,2.03075,1.37923,0.59045,0.86117,0.85561,0.62083,1.66829,1.07957,1.36647,1.16645e-05,1.16645e-05,1.16645e-05
13,33.3642,0.86556,2.23537,1.13961,0.59673,0.86538,0.85489,0.62066,1.65632,1.07609,1.35868,1.25835e-05,1.25835e-05,1.25835e-05
14,35.6402,1.09378,2.21388,1.4851,0.59727,0.86667,0.888,0.62728,1.66045,1.1011,1.36149,1.3479e-05,1.3479e-05,1.3479e-05
15,37.7548,0.95669,1.64777,1.1431,0.60138,0.86667,0.8881,0.62735,1.65983,1.10855,1.36258,1.43509e-05,1.43509e-05,1.43509e-05
16,39.7562,1.22185,2.47934,1.62542,0.77677,0.65,0.87861,0.62307,1.67256,1.12981,1.37278,1.51993e-05,1.51993e-05,1.51993e-05
17,41.8014,0.8236,1.82914,1.18173,0.76822,0.65,0.87331,0.62663,1.67229,1.13867,1.37526,1.60241e-05,1.60241e-05,1.60241e-05
18,43.8676,1.14746,1.57225,1.36037,0.76822,0.65,0.87331,0.62663,1.67229,1.13867,1.37526,1.68253e-05,1.68253e-05,1.68253e-05
19,46.2197,0.97427,1.94089,1.13788,0.76396,0.65,0.86221,0.61559,1.6827,1.17942,1.38628,1.7603e-05,1.7603e-05,1.7603e-05
20,48.6436,0.86128,1.5048,1.18909,0.76396,0.65,0.86221,0.61559,1.6827,1.17942,1.38628,1.83571e-05,1.83571e-05,1.83571e-05
21,51.1195,1.26942,2.58539,1.68121,0.75735,0.65,0.85518,0.61429,1.70167,1.21379,1.3979,1.90876e-05,1.90876e-05,1.90876e-05
22,53.1811,1.07324,2.36033,1.5055,0.75735,0.65,0.85518,0.61429,1.70167,1.21379,1.3979,1.97946e-05,1.97946e-05,1.97946e-05
23,55.4997,1.04467,1.88923,1.47041,0.73296,0.65,0.85526,0.6193,1.69451,1.23148,1.39041,2.0478e-05,2.0478e-05,2.0478e-05
24,57.5498,1.05839,2.20449,1.48999,0.73296,0.65,0.85526,0.6193,1.69451,1.23148,1.39041,2.11379e-05,2.11379e-05,2.11379e-05
25,59.5888,0.85451,1.48163,1.22199,0.70532,0.67235,0.85556,0.61089,1.71316,1.28405,1.40353,2.17741e-05,2.17741e-05,2.17741e-05
26,61.6511,1.13156,1.84652,1.44808,0.70532,0.67235,0.85556,0.61089,1.71316,1.28405,1.40353,2.23869e-05,2.23869e-05,2.23869e-05
27,63.9546,0.90956,1.74955,1.39989,0.69276,0.67683,0.85599,0.61129,1.71959,1.32069,1.40548,2.2976e-05,2.2976e-05,2.2976e-05
28,66.5442,0.81503,1.26492,1.15644,0.69276,0.67683,0.85599,0.61129,1.71959,1.32069,1.40548,2.35417e-05,2.35417e-05,2.35417e-05
29,68.8253,0.99537,1.51754,1.27504,0.687,0.67852,0.85534,0.60864,1.70207,1.32419,1.39401,2.40837e-05,2.40837e-05,2.40837e-05
30,70.8821,1.28767,2.33729,1.62499,0.687,0.67852,0.85534,0.60864,1.70207,1.32419,1.39401,2.46022e-05,2.46022e-05,2.46022e-05
31,72.9957,1.01167,1.441,1.32552,0.67282,0.66667,0.85353,0.61069,1.71795,1.36111,1.40609,2.50971e-05,2.50971e-05,2.50971e-05
32,74.8258,0.86045,1.31434,1.23497,0.67282,0.66667,0.85353,0.61069,1.71795,1.36111,1.40609,2.55685e-05,2.55685e-05,2.55685e-05
33,76.9453,0.8543,1.31228,1.40172,0.65151,0.7,0.76968,0.534,1.71098,1.39812,1.40587,2.60163e-05,2.60163e-05,2.60163e-05
34,78.8255,1.0252,1.25106,1.29023,0.65151,0.7,0.76968,0.534,1.71098,1.39812,1.40587,2.64405e-05,2.64405e-05,2.64405e-05
35,80.6756,0.898,2.17965,1.31163,0.66012,0.7,0.76998,0.51895,1.70561,1.42532,1.40104,2.68412e-05,2.68412e-05,2.68412e-05
36,82.67,0.90337,1.54818,1.177,0.66012,0.7,0.76998,0.51895,1.70561,1.42532,1.40104,2.72183e-05,2.72183e-05,2.72183e-05
37,84.5686,0.76619,1.05649,1.15354,0.66629,0.7,0.76976,0.51041,1.68792,1.44747,1.39803,2.75718e-05,2.75718e-05,2.75718e-05
38,86.4669,0.48194,0.72633,0.98059,0.66629,0.7,0.76976,0.51041,1.68792,1.44747,1.39803,2.79018e-05,2.79018e-05,2.79018e-05
39,88.6492,0.62304,0.90619,1.00585,0.6735,0.69451,0.76947,0.50369,1.66369,1.48133,1.38665,2.82082e-05,2.82082e-05,2.82082e-05
40,90.6753,0.80079,0.82487,1.16505,0.6735,0.69451,0.76947,0.50369,1.66369,1.48133,1.38665,2.84911e-05,2.84911e-05,2.84911e-05
41,92.6099,0.72867,0.89952,1.0484,0.67173,0.66248,0.74238,0.47929,1.63593,1.50451,1.37465,2.87504e-05,2.87504e-05,2.87504e-05
42,94.6066,0.89128,1.92414,1.27144,0.67173,0.66248,0.74238,0.47929,1.63593,1.50451,1.37465,2.89861e-05,2.89861e-05,2.89861e-05
43,96.5687,0.83919,1.24992,1.22907,0.671,0.65,0.72538,0.45139,1.66845,1.56977,1.39686,2.91983e-05,2.91983e-05,2.91983e-05
44,98.5511,1.05264,0.9755,1.43563,0.671,0.65,0.72538,0.45139,1.66845,1.56977,1.39686,2.93869e-05,2.93869e-05,2.93869e-05
45,100.538,0.63226,0.92325,0.99939,0.6868,0.65,0.7117,0.44065,1.66318,1.57888,1.39871,2.9552e-05,2.9552e-05,2.9552e-05
46,102.297,0.79425,1.00197,1.21258,0.6868,0.65,0.7117,0.44065,1.66318,1.57888,1.39871,2.96935e-05,2.96935e-05,2.96935e-05
47,104.338,0.82678,1.4391,1.31985,0.71315,0.65,0.69897,0.43181,1.66395,1.62425,1.40426,2.98114e-05,2.98114e-05,2.98114e-05
48,106.175,0.85078,1.60804,1.20137,0.71315,0.65,0.69897,0.43181,1.66395,1.62425,1.40426,2.99058e-05,2.99058e-05,2.99058e-05
49,108.06,0.66383,0.69645,1.24967,0.75377,0.65,0.69886,0.43178,1.68383,1.64794,1.41403,2.99766e-05,2.99766e-05,2.99766e-05
50,109.991,0.79754,0.78769,1.30369,0.75377,0.65,0.69886,0.43178,1.68383,1.64794,1.41403,3.00238e-05,3.00238e-05,3.00238e-05
51,111.862,0.82786,0.8714,1.1256,0.75113,0.65,0.69353,0.42676,1.66282,1.6514,1.41115,3.00475e-05,3.00475e-05,3.00475e-05
52,113.841,0.94068,0.96721,1.3163,0.75113,0.65,0.69353,0.42676,1.66282,1.6514,1.41115,3.00476e-05,3.00476e-05,3.00476e-05
53,115.824,0.65047,0.70868,1.18221,0.75113,0.65,0.69353,0.42676,1.66282,1.6514,1.41115,3.00242e-05,3.00242e-05,3.00242e-05
54,117.987,0.82996,0.95658,1.26829,0.68698,0.66667,0.69235,0.40895,1.66537,1.72131,1.42045,2.99772e-05,2.99772e-05,2.99772e-05
55,120.041,0.77424,0.91214,1.11211,0.68698,0.66667,0.69235,0.40895,1.66537,1.72131,1.42045,2.99066e-05,2.99066e-05,2.99066e-05
56,121.804,1.1615,1.44395,1.63017,0.68698,0.66667,0.69235,0.40895,1.66537,1.72131,1.42045,2.98125e-05,2.98125e-05,2.98125e-05
57,123.59,0.93629,1.51442,1.37371,0.71974,0.68333,0.69352,0.39228,1.68654,1.75272,1.43404,2.96948e-05,2.96948e-05,2.96948e-05
58,125.516,0.85912,1.50612,1.27685,0.71974,0.68333,0.69352,0.39228,1.68654,1.75272,1.43404,2.95535e-05,2.95535e-05,2.95535e-05
59,127.399,0.78466,0.81942,1.15632,0.71974,0.68333,0.69352,0.39228,1.68654,1.75272,1.43404,2.93887e-05,2.93887e-05,2.93887e-05
60,129.31,0.96782,0.85207,1.54314,0.74136,0.51667,0.68411,0.38248,1.71336,1.78774,1.45599,2.92003e-05,2.92003e-05,2.92003e-05
61,131.164,0.64432,0.68034,1.0632,0.74136,0.51667,0.68411,0.38248,1.71336,1.78774,1.45599,2.89884e-05,2.89884e-05,2.89884e-05
62,133.13,0.71568,0.90518,1.05395,0.74136,0.51667,0.68411,0.38248,1.71336,1.78774,1.45599,2.87529e-05,2.87529e-05,2.87529e-05
63,135.067,0.78844,0.85922,1.16397,0.81792,0.48442,0.68313,0.38164,1.69398,1.83602,1.45885,2.84938e-05,2.84938e-05,2.84938e-05
64,136.992,0.62317,0.63991,1.06591,0.81792,0.48442,0.68313,0.38164,1.69398,1.83602,1.45885,2.82112e-05,2.82112e-05,2.82112e-05
65,138.948,0.69313,0.69492,1.2375,0.81792,0.48442,0.68313,0.38164,1.69398,1.83602,1.45885,2.7905e-05,2.7905e-05,2.7905e-05
66,140.843,0.69162,0.96485,1.08521,0.81855,0.48372,0.60032,0.32387,1.68932,1.90665,1.45069,2.75753e-05,2.75753e-05,2.75753e-05
67,142.718,0.73745,1.13922,1.10606,0.81855,0.48372,0.60032,0.32387,1.68932,1.90665,1.45069,2.7222e-05,2.7222e-05,2.7222e-05
68,144.602,1.04006,1.75304,1.39635,0.81855,0.48372,0.60032,0.32387,1.68932,1.90665,1.45069,2.68451e-05,2.68451e-05,2.68451e-05
69,146.574,0.61065,1.10131,1.10213,0.8306,0.47025,0.55656,0.28278,1.74379,1.96874,1.45844,2.64447e-05,2.64447e-05,2.64447e-05
70,149.089,1.04793,0.8911,1.48354,0.8306,0.47025,0.55656,0.28278,1.74379,1.96874,1.45844,2.60207e-05,2.60207e-05,2.60207e-05
71,151.277,0.95197,1.26337,1.32856,0.8306,0.47025,0.55656,0.28278,1.74379,1.96874,1.45844,2.55731e-05,2.55731e-05,2.55731e-05
72,153.411,0.5961,0.65047,1.08823,0.83082,0.46667,0.55791,0.2636,1.76646,1.98979,1.47604,2.5102e-05,2.5102e-05,2.5102e-05
73,155.405,0.69331,0.93741,1.05115,0.83082,0.46667,0.55791,0.2636,1.76646,1.98979,1.47604,2.46073e-05,2.46073e-05,2.46073e-05
74,157.495,0.7937,0.62916,1.24371,0.83082,0.46667,0.55791,0.2636,1.76646,1.98979,1.47604,2.40891e-05,2.40891e-05,2.40891e-05
75,159.645,0.71664,0.56211,1.13357,0.83592,0.46667,0.5724,0.29144,1.82053,2.00015,1.4966,2.35472e-05,2.35472e-05,2.35472e-05
76,161.834,0.64264,0.73701,1.1343,0.83592,0.46667,0.5724,0.29144,1.82053,2.00015,1.4966,2.29819e-05,2.29819e-05,2.29819e-05
77,164.05,0.69757,0.6586,1.1263,0.83592,0.46667,0.5724,0.29144,1.82053,2.00015,1.4966,2.23929e-05,2.23929e-05,2.23929e-05
78,166.259,0.87449,1.01847,1.20426,0.85838,0.46667,0.59835,0.28331,1.80461,2.01888,1.49183,2.17805e-05,2.17805e-05,2.17805e-05
79,168.304,0.59559,0.78882,1.08669,0.85838,0.46667,0.59835,0.28331,1.80461,2.01888,1.49183,2.11444e-05,2.11444e-05,2.11444e-05
